Index,Value
294,146.205
295,168.486
296,152.879
297,161.393
298,153.491
299,157.676
300,142.311
301,159.001
302,153.279
303,149.204
304,192.209
305,150.688
306,137.981
307,66.9831
308,64.9609
309,58.0438
310,63.5439
311,58.1082
312,60.8671
313,58.4687
314,58.3608
315,57.8861
316,62.1488
317,56.535
318,58.8465
319,63.4216
320,62.5557
321,58.7905
322,61.101
323,58.196
324,66.0759
325,59.8551
326,56.6882
327,60.6167
328,68.3903
329,64.4963
330,60.1975
331,61.77
332,59.2798
333,60.9473
334,59.5949
335,86.5432
336,89.3043
337,87.958
338,95.7182
339,95.4469
340,95.6972
341,92.442
342,88.1964
343,91.5369
344,95.1926
345,98.0961
346,95.7716
347,118.195
348,91.5501
349,90.2982
350,94.088
351,91.2504
352,87.5563
353,90.6804
354,86.5586
355,96.6354
356,96.8177
357,100.696
358,98.2314
359,93.9993
360,101.009
361,99.7001
362,100.807
363,106.21
364,99.6
365,95.1405
366,103.764
367,98.9071
368,94.2592
369,98.5545
370,104.546
371,96.9136
372,93.6527
373,96.825
374,95.5075
375,104.153
376,97.4498
377,102.33
378,99.285
379,86.9872
380,90.1767
381,87.6821
382,86.7043
383,100.268
384,88.6827
385,86.3531
386,100.923
387,88.8048
388,86.9839
389,89.6743
390,85.8392
391,106.039
392,97.7906
393,86.6262
394,93.4844
395,89.0944
396,93.1891
397,87.1421
398,93.0716
399,92.5989
400,85.693
401,85.1447
402,57.0932
403,62.7482
404,61.4758
405,56.5922
406,61.2646
407,57.3935
408,66.4279
409,57.093
410,85.6892
411,58.9672
412,58.7099
413,57.4247
414,59.4832
415,57.4099
416,64.3498
417,63.8819
418,61.7351
419,62.2607
420,60.4279
421,58.6643
422,58.3649
423,59.1622
424,59.7795
425,60.3063
426,59.2457
427,59.659
428,91.8988
429,95.8681
430,92.8467
431,101.149
432,96.8617
433,91.2174
434,89.6604
435,89.6478
436,88.3953
437,85.9068
438,85.1674
439,88.064
440,91.6518
441,99.2839
442,93.3508
443,86.2175
444,101.05
445,87.6002
446,93.9759
447,101.684
448,97.1561
449,98.5037
450,93.0275
451,99.722
452,98.3622
453,101.457
454,97.0202
455,102.64
456,97.7916
457,96.5616
458,94.7811
459,97.1304
460,113.469
461,99.507
462,100.181
463,96.3269
464,96.6364
465,101.96
466,99.7858
467,99.8864
468,91.0272
469,95.7628
470,101.815
471,104.865
472,104.04
473,99.0479
474,116.519
475,116.676
476,123.611
477,120.101
478,118.176
479,129.994
480,124.714
481,108.872
482,113.992
483,128.439
484,113.098
485,139.648
486,108.29
487,117.894
488,116.509
489,137.797
490,126.604
491,109.224
492,112.48
493,124.163
494,116.109
495,133.87
496,59.1211
497,59.0731
498,58.6943
499,59.6018
500,62.488
501,57.9702
502,59.2066
503,61.3928
504,59.582
505,58.8294
506,59.831
507,59.6667
508,64.2624
509,56.4048
510,61.9221
511,61.1654
512,59.9105
513,59.715
514,59.3488
515,61.7364
516,59.1192
517,58.1462
518,58.3713
519,60.1744
520,67.3048
521,60.8543
522,116.756
523,87.5075
524,121.722
525,90.3873
526,87.5221
527,87.6383
528,105
529,93.9667
530,91.2887
531,88.0636
532,115.816
533,127.704
534,92.209
535,91.7964
536,88.8742
537,86.6274
538,96.9773
539,107.187
540,93.6011
541,96.0364
542,94.3231
543,93.1688
544,101.136
545,102.919
546,95.7119
