Index,Value
407,95.6052
408,87.3989
409,88.2306
410,89.7203
411,94.6928
412,101.608
413,87.9622
414,87.2224
415,90.4176
416,88.7515
417,95.0421
418,93.8366
419,118.931
420,89.7333
421,93.324
422,106.24
423,95.5156
424,89.0768
425,90.4369
426,85.9714
427,91.2783
428,86.2323
429,87.6787
430,86.1116
431,85.8971
432,2149.42
433,104.447
434,94.7921
435,85.8139
436,85.8562
437,92.0091
438,87.8139
439,92.0785
440,95.0361
441,97.0858
442,90.393
443,88.2929
444,101.037
445,96.1203
446,103.468
447,90.194
448,83.796
449,91.3755
450,101.155
451,117.515
452,114.864
453,84.9392
454,94.9138
455,111.083
456,91.0513
457,88.3558
458,112.659
459,92.5377
460,98.5804
461,86.9993
462,84.6365
463,92.5824
464,85.5463
465,109.159
466,91.9897
467,109.607
468,84.043
469,110.939
470,89.0824
471,92.8775
472,88.427
473,89.6879
474,86.7905
475,85.8682
476,87.8638
477,88.0291
478,87.0415
479,97.2363
480,110.508
481,91.7195
482,105.135
483,91.1513
484,90.3104
485,85.764
486,98.4275
487,2829.09
488,95.9202
489,92.41
490,95.4734
491,101.879
492,84.7281
493,95.4433
494,106.955
495,93.2396
496,85.5992
497,96.6616
498,90.1316
499,87.9894
500,108.256
501,118.979
502,130.237
503,96.9349
504,92.5859
505,105.24
506,89.022
507,96.6976
508,105.263
509,88.5361
510,106
511,87.4113
512,97.7761
513,100.524
514,89.286
515,98.7045
516,93.6212
517,93.5415
518,100.38
519,118.279
520,97.6988
521,88.2969
522,119.32
523,94.419
524,92.815
525,104.671
526,94.2392
527,96.4613
528,93.4858
529,86.3972
530,92.1865
531,92.0033
532,86.1149
533,91.8495
534,95.2895
535,89.5086
536,90.2982
537,93.2923
538,103.802
539,90.9287
540,90.3161
541,2122.93
542,113.437
543,108.556
544,92.3455
545,96.6547
546,106.914
547,89.3258
548,89.2876
549,89.4923
550,98.5498
551,85.9803
552,127.714
553,116.751
554,103.982
555,109.461
556,92.8096
557,93.8144
558,89.5842
559,95.3105
560,98.9449
561,88.3241
562,92.5046
563,95.2309
564,84.8632
565,99.0588
566,89.2983
567,105.779
568,87.8604
569,97.0447
570,117.769
571,88.104
572,89.8367
573,91.4053
574,109.146
575,87.3557
576,109.255
577,87.4192
578,90.5362
579,86.8308
580,84.3794
581,86.9756
582,90.029
583,89.2651
584,96.7749
585,94.3561
586,107.431
587,98.1421
588,110.309
589,121.482
590,117.092
591,125.605
592,93.1401
593,96.1915
594,2233.25
595,103.028
596,95.9974
597,93.8449
598,88.9964
599,88.6638
600,91.3478
601,104.618
602,94.4334
603,92.7932
604,87.8381
605,101.772
606,124.604
607,96.1949
608,111.118
609,102.516
610,90.3741
611,89.4859
612,90.0776
613,84.2692
614,116.957
615,105.713
616,92.968
617,95.0122
618,114.771
619,84.8939
620,86.5235
621,95.8563
622,95.4457
623,94.6024
624,119.024
625,87.565
626,92.2074
627,109.696
628,91.3223
629,94.5457
630,112.475
631,84.0059
632,113.668
633,87.3007
634,87.5829
635,106.799
636,90.668
637,115.51
638,91.1179
639,95.8923
640,94.2889
641,95.0378
642,99.3326
643,89.3814
644,86.9813
645,88.2534
646,98.2164
647,88.9268
648,97.9317
649,2277.77
650,86.0502
651,91.0992
652,96.0836
653,88.7236
654,90.2972
655,83.837
656,93.2754
657,98.8424
658,85.4976
659,128.468
660,90.5453
661,98.6384
662,93.4572
663,100.126
664,96.4833
665,103.845
666,87.5991
667,91.4109
668,98.922
669,100.002
670,125.211
671,87.0347
672,91.1912
673,88.4384
674,88.5766
675,89.835
676,86.7555
677,88.8102
678,91.2305
679,90.8351
680,94.1496
681,120.029
682,90.2685
683,96.6207
684,87.2789
685,115.847
686,98.7622
687,88.6692
688,112.204
689,94.1293
690,98.3435
691,95.0098
692,97.4852
693,114.821
694,83.9467
695,111.301
696,102.473
697,83.8857
698,109.933
699,89.7491
700,87.2313
701,88.8698
702,92.0438
703,119.638
704,97.8704
705,87.0356
706,2240.51
707,100.053
708,93.7247
709,86.546
710,89.2808
711,86.817
712,108.823
713,84.7723
714,100.58
715,104.781
716,103.091
717,108.804
718,112.419
719,95.0563
720,89.1519
721,89.8221
722,96.9553
723,112.369
724,95.5623
725,94.1858
726,93.3633
727,89.9964
728,123.721
729,109.598
730,94.5875
731,111.916
732,95.882
733,115.845
734,98.9003
735,94.0944
736,116.063
737,95.5403
738,88.6098
739,89.4641
740,95.8145
741,94.6473
742,90.2612
743,87.9878
744,116.636
745,93.6533
746,87.3426
747,86.9921
748,90.8957
749,88.5017
750,130.432
751,102.337
752,92.1659
753,92.192
754,91.9954
755,98.9442
756,94.9135
757,99.8326
758,2258.81
759,98.1981
760,88.5315
761,93.7714
762,117.529
763,87.5349
764,106.705
765,89.7726
766,102.306
767,98.106
768,106.063
769,103.791
770,124.602
771,86.8954
772,97.3258
773,108.65
774,89.8164
775,85.9886
776,86.7218
777,90.2731
778,94.4096
779,99.2931
780,85.8431
781,86.0236
782,112.468
783,86.9804
784,88.4512
785,90.2859
786,92.8323
787,99.9003
788,91.5657
789,108.459
790,132.948
791,102.49
792,93.9942
793,87.581
794,92.6441
795,97.7418
796,89.6696
797,88.9117
798,90.2505
799,110.438
800,128.307
801,88.7649
802,85.8277
803,85.6228
804,127.629
805,104.939
806,86.3471
807,99.5972
808,94.9649
809,102.306
810,2093.96
811,112.176
812,89.1016
813,88.7659
814,95.3839
815,90.7956
816,108.031
817,99.6937
818,87.5217
819,90.0183
820,96.0703
821,106.147
822,88.8147
823,109.187
824,90.7192
825,90.9179
826,86.2053
827,86.8551
828,92.7207
829,93.4077
830,99.8451
831,84.6443
832,94.7851
833,88.2197
834,86.268
835,110.23
836,102.91
837,101.553
838,93.6548
839,101.107
840,89.3098
841,108.921
842,140.708
843,88.0049
844,93.3
845,108.143
846,96.4229
847,112.513
848,108.157
849,88.2413
850,86.947
851,93.2679
852,85.6228
853,93.0091
854,89.5057
855,103.634
856,89.1222
857,120.029
858,88.4623
859,98.4839
860,89.7282
861,92.6964
862,95.2219
863,96.0006
864,103.978
865,2602.48
866,113.012
867,97.5364
868,100.245
869,102.415
870,100.095
871,91.1412
872,105.484
873,88.3771
874,114.035
875,110.195
876,94.6298
877,101.659
878,90.8931
879,110.109
880,101.022
881,98.5106
882,91.1027
883,97.5283
884,113.276
885,94.8396
886,98.5655
887,88.7823
